Last_Name,Full_Name,Last_First,State_District,PID,Gender,Age,House_Comp_Dec12,Comp_Oct31_14,Congress,Chamber,Twitter,Number_Tweets
Adherholt,Rob Aderholt,"Aderholt, Robert",Alabama 4th District,R,0,50,1,1,113,House,Robert_Aderholt,845
Amash,Justin Amash,"Amash, Justin",Michigan 3rd District,R,0,34,2,1,113,House, repjustinamash,3298
Amodei,Mark Amodei,"Amodei, Mark",Nevada 2nd District,R,0,56,1,1,113,House,MarkAmodeiNV2,492
Bachmann,Michelle Bachmann,"Bachmann, Michele",Minnesota 6th District,R,1,58,0,0,113,House,MicheleBachmann,1321
Bachus,Spencer Bachus,"Bachus, Spencer",Alabama 6th District,R,0,67,0,0,113,House,BachusAL06,185
Barletta,Louis Barletta,"Barletta, Lou",Pennsylvania 11th District,R,0,58,1,1,113,House,RepLouBarletta,281
Barr,Andy Barr,"Barr, Andy",Kentucky 6th District,R,0,41,2,1,113,House,RepAndyBarr,1705
Barton,Joe Barton,"Barton, Joe",Texas 6th District,R,0,65,1,1,113,House,RepJoeBarton,641
Benishek,Dan Benishek,"Benishek, Dan",Michigan 1st District,R,0,62,2,2,113,House,CongressmanDan,316
Bentivolio,Kerry Bentivolio,"Bentivolio, Kerry",Michigan 11th District,R,0,63,0,0,113,House,RepKerryB,1051
Bilirakis,Gus Bilirakis,"Bilirakis, Gus M.",Florida 12th District,R,0,51,1,1,113,House,RepGusBilirakis,1011
Bishop,Rob Bishop,"Bishop, Rob",Utah 1st District,R,0,63,1,1,113,House, RepRobBishop,0
Black ,Diane Black,"Black, Diane",Tennessee 6th District,R,1,63,1,1,113,House,RepDianeBlack,2057
Blackburn,Marsha Blackburn,"Blackburn, Marsha",Tennessee 7th District,R,1,62,1,1,113,House,MarshaBlackburn,2036
Boehner,John Boehner,"Boehner, John A.",Ohio 8th District,R,0,65,1,1,113,House,SpeakerBoehner,3868
Boustany,Charles Boustany,"Boustany Jr., Charles W.",Louisiana 3rd District,R,0,58,1,1,113,House,RepBoustany,307
Brady,Kevin Brady,"Brady, Kevin",Texas 8th District,R,0,59,1,1,113,House, RepKevinBrady,3392
Bridenstine,Jim Bridenstine,"Bridenstine, Jim",Oklahoma 1st District,R,0,39,1,1,113,House,RepJBridenstine,1025
Brooks,Mo Brooks,"Brooks, Mo",Alabama 5th District,R,0,60,1,1,113,House,RepMoBrooks,324
Brooks,Susan Brooks,"Brooks, Susan W.",Indiana 5th District,R,1,54,1,1,113,House, SusanWBrooks,747
Broun,Paul Broun,"Broun, Paul C.",Georgia 10th District,R,0,68,0,0,113,House,RepPaulBrounMD,671
Buchanan,Vern Buchanan,"Buchanan, Vern",Florida 16th District,R,0,63,1,1,113,House,VernBuchanan,210
Buchshon,Larry Bucshon,"Bucshon, Larry",Indiana 8th District,R,0,52,1,1,113,House,RepLarryBucshon,1247
Burgess,Michael Burgess,"Burgess, Michael",Texas 26th District,R,0,64,1,1,113,House,michaelcburgess,1062
Byrne,Bradley Byrne,"Byrne,Bradley",Alabama 1st District,R,0,59,1,1,113,House, RepByrne,2308
Calvert,Ken Calvert,"Calvert, Ken",California 42nd District,R,0,61,1,1,113,House,KenCalvert,1182
Camp,Dave Camp,"Camp, Dave",Michigan 4th District,R,0,61,0,0,113,House,RepDaveCamp,381
Campbell,John Campbell,"Campbell, John",California 45th District,R,0,59,0,0,113,House,RepJohnCampbell,526
Cantor,Eric Cantor,"Cantor, Eric -- Vacancy",Virginia 7th District,R,0,51,0,0,113,House,EricCantor,2884
Capito,Shelley Capito,"Capito, Shelley Moore",West Virginia 2nd District,R,1,61,0,0,113,House,RepShelley,681
Carter,John Carter,"Carter, John",Texas 31st District,R,0,73,1,1,113,House,JudgeCarter,1682
Cassidy,Bill Cassidy,"Cassidy, William",Louisiana 6th District,R,0,57,0,0,113,House,BillCassidy,1605
Chabot,Steve Chabot,"Chabot, Steve",Ohio 1st District,R,0,61,1,1,113,House,RepSteveChabot,1098
Chaffetz,Jason Chaffetz,"Chaffetz, Jason",Utah 3rd District,R,0,47,1,1,113,House,jasoninthehouse,1925
Clawson,Curt,"Clawson,Curt",Florida 19th District,R,0,55,1,1,113,House,,86
Coble,Howard Coble,"Coble, Howard",North Carolina 6th District,R,0,83,0,0,113,House,HowardCoble,218
Coffman,Mike Coffman,"Coffman, Mike",Colorado 6th District,R,0,59,2,3,113,House,RepMikeCoffman,404
Cole ,Tom Cole,"Cole, Tom",Oklahoma 4th District,R,0,65,1,1,113,House,tomcoleok04,224
Collins,Doug Collins,"Collins, Chris",New York 27th District,R,0,48,1,1,113,House,RepDougCollins,1287
Collins,Chris Collins,"Collins, Doug",Georgia 9th District,R,0,64,1,1,113,House,collinsNY27,2041
Conaway,Mike Conaway,"Conaway, K. Michael",Texas 11th District,R,0,66,1,1,113,House,ConawayTX11,216
Cook,Paul Cook,"Cook, Paul",California 8th District,R,0,71,1,1,113,House,joinpaulcook,725
Cotton,Tom Cotton,"Cotton, Tom",Arkansas 4th District,R,0,37,0,0,113,House,RepTomCotton,1707
Cramer,Kevin Cramer,"Cramer, Kevin",North Dakota At-Large,R,0,53,1,2,113,House,kevincramer,751
Crawford,Rick Crawford,"Crawford, Rick",Arkansas 1st District,R,0,48,1,1,113,House,RepRickCrawford,1847
Crenshaw,Ander Crenshaw,"Crenshaw, Ander",Florida 4th District,R,0,70,1,1,113,House,AnderCrenshaw,409
Culberson,John Culberson,"Culberson, John",Texas 7th District,R,0,58,1,1,113,House,CongCulberson,728
Daines,Steve,"Daines, Steve",Montana At-Large,R,0,52,0,0,113,House,SteveDaines,1016
Davis,Rodney Davis,"Davis, Rodney",Illinois 13th District,R,0,44,2,2,113,House,RodneyDavis,1839
Denham,Jeff Denham,"Denham, Jeff",California 10th District,R,0,47,2,1,113,House,RepJeffDenham,793
Dent,Charlie Dent,"Dent, Charles W.",Pennsylvania 15th District,R,0,54,1,1,113,House,DentPressShop,579
DeSantis,Ron,"DeSantis, Ron",Florida 6th District,R,0,36,1,1,113,House,RepDeSantis,159
Desjarlais,Scott DesJarlais,"DesJarlais, Scott",Tennessee 4th District,R,0,50,2,1,113,House,DesJarlaisTN04,1864
Diaz-Balart,Mario Diaz-Balart,"Diaz-Balart, Mario",Florida 25th District,R,0,53,1,1,113,House,MarioDB,1535
Duffy,Sean Duffy,"Duffy, Sean P.",Wisconsin 7th District,R,0,43,2,1,113,House,RepSeanDuffy,1259
Duncan,Jeff Duncan,"Duncan Jr., John J.",Tennessee 2nd District,R,0,48,1,1,113,House,RepJeffDuncan,2441
Duncan,Jimmy Duncan,"Duncan, Jeff",South Carolina 3rd District,R,0,67,1,1,113,House,,0
Ellmers,Renee Ellmers,"Ellmers, Renee",North Carolina 2nd District,R,1,50,1,1,113,House,RepReneeEllmers,3237
Farenthold,R. Blake Farenthold,"Farenthold, Blake",Texas 27th District,R,0,52,1,1,113,House,farenthold,1385
Fincher,Stephen Fincher,"Fincher, Stephen",Tennessee 8th District,R,0,41,1,1,113,House,RepFincherTN08,2242
Fitzpatrick,Michael Fitzpatrick,"Fitzpatrick, Michael G.",Pennsylvania 8th District,R,0,51,2,1,113,House,RepFitzpatrick,3330
Fleischmann,Charles Fleishmann,"Fleischmann, Chuck",Tennessee 3rd District,R,0,52,1,1,113,House,RepChuck,361
Fleming,John Fleming,"Fleming, John",Louisiana 4th District,R,0,63,1,1,113,House,RepFleming,679
Flores,Bill Flores,"Flores, Bill",Texas 17th District,R,0,60,1,1,113,House,RepBillFlores,2398
Forbes,Randy Forbes,"Forbes, J. Randy",Virginia 4th District,R,0,62,1,1,113,House,Randy_Forbes,1173
Fortenberry,Jeff Fortenberry,"Fortenberry, Jeff",Nebraska 1st District,R,0,54,1,1,113,House,JeffFortenberry,446
Foxx,Virginia Foxx,"Foxx, Virginia",North Carolina 5th District,R,1,71,1,1,113,House,virginiafoxx,792
Franks,Trent Franks,"Franks, Trent",Arizona 8th District,R,0,57,1,1,113,House,RepTrentFranks,423
Frelinghuysen,Rodney Frelinghuysen,"Frelinghuysen, Rodney",New Jersey 11th District,R,0,68,1,1,113,House,,239
Gardner,Cory Gardner,"Gardner, Cory",Colorado 4th District,R,0,40,0,0,113,House,,1428
Garrett,Scott Garrett,"Garrett, Scott",New Jersey 5th District,R,0,55,2,1,113,House, RepGarrett,484
Gerlach,Jim Gerlach,"Gerlach, Jim",Pennsylvania 6th District,R,0,59,0,0,113,House,JimGerlach,140
Gibbs,Bob Gibbs,"Gibbs, Bob",Ohio 7th District,R,0,60,1,1,113,House, RepBobGibbs,795
Gibson,Chris Gibson,"Gibson, Chris",New York 19th District,R,0,50,2,2,113,House, RepChrisGibson,1116
Gingrey,Phil Gingrey,"Gingrey, Phil",Georgia 11th District,R,0,72,0,0,113,House, RepPhilGingrey,418
Gohmert,Louie Gohmert,"Gohmert, Louie",Texas 1st District,R,0,61,1,1,113,House, replouiegohmert,1529
Goodlatt,Bob Goodlatte,"Goodlatte, Bob",Virginia 6th District,R,0,62,1,1,113,House, RepGoodlatte,1703
Gosar,Paul Gosar,"Gosar, Paul A.",Arizona 4th District,R,0,56,1,1,113,House, RepGosar,2440
Gowdy,Trey Gowdy,"Gowdy, Trey",South Carolina 4th District,R,0,50,1,1,113,House,TGowdySC,185
Granger,Kay Granger,"Granger, Kay",Texas 12th District,R,1,71,1,1,113,House,RepKayGranger,314
Graves,Tom Graves Jr.,"Graves, Sam",Missouri 6th District,R,0,44,1,1,113,House, reptomgraves,3199
Graves,Sam Graves,"Graves, Tom",Georgia 14th District,R,0,51,1,1,113,House,,771
Griffin,Tim Griffin,"Griffin, Tim",Arkansas 2nd District,R,0,46,0,0,113,House,RepTimGriffin,2913
Griffith,Morgan Griffith,"Griffith, Morgan",Virginia 9th District,R,0,56,1,1,113,House,,243
Grimm,Michael Grimm,"Grimm, Michael",New York 11th District,R,0,44,2,3,113,House, repmichaelgrimm,180
Guthrie,Brett Guthrie,"Guthrie, S. Brett",Kentucky 2nd District,R,0,50,1,1,113,House, RepGuthrie,392
Hall,Ralph Hall,"Hall, Ralph M.",Texas 4th District,R,0,91,1,1,113,House,,397
Hanna,Richard Hanna,"Hanna, Richard",New York 22nd District,R,0,63,1,1,113,House,RepRichardHanna,1458
Harper,Gregg Harper,"Harper, Gregg",Mississippi 3rd District,R,0,58,1,1,113,House,GreggHarper,1091
Harris,Andy Harris,"Harris, Andy",Maryland 1st District,R,0,57,1,1,113,House,,1318
Hartzler,Vicky Jo Hartzler,"Hartzler, Vicky",Missouri 4th District,R,1,54,1,1,113,House,RepHartzler,888
Hastings,Doc Hastings,"Hastings, Doc",Washington 4th District,R,0,73,0,0,113,House,DocHastings,137
Heck,Joe,"Heck, Joe",Nevada 3rd District,R,0,53,2,1,113,House,RepJoeHeck,654
Hensarling,Jeb Hensarling,"Hensarling, Jeb",Texas 5th District,R,0,57,1,1,113,House,RepHensarling,269
Herrera Beutler,Jaime Herrera,"Herrera Beutler, Jaime",Washington 3rd District,R,1,36,1,1,113,House,HerreraBeutler,147
Holding,George Holding,"Holding, George",North Carolina 13th District,R,0,46,1,1,113,House,RepHolding,507
Hudson,Richard Hudson,"Hudson, Richard",North Carolina 8th District,R,0,43,1,1,113,House,RichHudson,451
Huelskamp,Timothy Huelskamp,"Huelskamp, Tim",Kansas 1st District,R,0,46,1,1,113,House,CongHuelskamp,1359
Huizenga,Bill Huizenga,"Huizenga, Bill",Michigan 2nd District,R,0,45,1,1,113,House,RepHuizenga,950
Hultgren,Randy Hultgren,"Hultgren, Randy",Illinois 14th District,R,0,48,1,1,113,House,RepHultgren,1623
Hunter,Duncan Hunter,"Hunter, Duncan D.",California 50th District,R,0,38,1,1,113,House,,237
Hurt,Robert Hurt,"Hurt, Robert",Virginia 5th District,R,0,45,1,1,113,House,RepRobertHurt,862
Issa,Darrel Issa,"Issa, Darrell",California 49th District,R,0,61,1,1,113,House,DarrellIssa,406
Jenkins,Lynn Jenkins,"Jenkins, Lynn",Kansas 2nd District,R,1,51,1,2,113,House,RepLynnJenkins,1707
Johnson,Bill Johnson,"Johnson, Bill",Ohio 6th District,R,0,60,1,1,113,House,RepBillJohnson,1848
Johnson,Sam Johnson,"Johnson, Sam",Texas 3rd District,R,0,84,1,1,113,House,SamsPressShop,341
Jolly,David,"Jolly, David",Florida 13th District,R,0,41,1,1,113,House,USRepDavidJolly,412
Jones,Walter Jones,"Jones, Walter B.",North Carolina 3rd District,R,0,71,1,1,113,House,RepWalterJones,624
Jordan,Jim Jordan,"Jordan, Jim",Ohio 4th District,R,0,50,1,1,113,House,Jim_Jordan,396
Joyce,David Joyce,"Joyce, David",Ohio 14th District,R,0,57,2,1,113,House,RepDaveJoyce,1814
Kelly,Mike Kelly,"Kelly, Mike",Pennsylvania 3rd District,R,0,66,1,1,113,House,MikeKellyPA,839
King,Pete King,"King, Pete",New York 2nd District,R,0,70,1,1,113,House,RepPeteKing,724
King,Steve King,"King, Steve",Iowa 4th District,R,0,65,2,1,113,House,SteveKingIA,402
Kingston,Jack Kingston,"Kingston, Jack",Georgia 1st District,R,0,59,0,0,113,House,JackKingston,808
Kinzinger,Adam Kinzinger,"Kinzinger, Adam",Illinois 16th District,R,0,36,1,1,113,House,RepKinzinger,1876
Kline,John Kline,"Kline, John",Minnesota 2nd District,R,0,67,2,1,113,House,repjohnkline,1143
Labrador,Raul Labrador,"Labrador, Raul R.",Idaho 1st District,R,0,47,1,1,113,House,Raul_Labrador,574
LaMalfa,Doug LaMalfa,"LaMalfa, Doug",California 1st District,R,0,54,1,1,113,House,DougLaMalfa,2825
Lamborn,Doug Lamborn,"Lamborn, Doug",Colorado 5th District,R,0,60,1,1,113,House,RepDLamborn,1373
Lance,Leonard Lance,"Lance, Leonard",New Jersey 7th District,R,0,62,1,1,113,House,RepLanceNJ7,627
Lankford,James Lankford,"Lankford, James",Oklahoma 5th District,R,0,46,0,0,113,House,RepLankford,790
Latham,Tom Latham,"Latham, Tom",Iowa 3rd District,R,0,66,2,0,113,House,TomLatham,863
Latta,Bob Latta,"Latta, Robert E.",Ohio 5th District,R,0,58,1,1,113,House,boblatta,1358
Lobiondo,Frank LoBiondo,"LoBiondo, Frank",New Jersey 2nd District,R,0,68,2,1,113,House,RepLoBiondo,1121
Long,Billy Long,"Long, Billy",Missouri 7th District,R,0,53,1,1,113,House,USRepLong,2556
Lucas,Frank Lucas,"Lucas, Frank",Oklahoma 3rd District,R,0,54,1,1,113,House,FrankDLucas,211
Luetkemeyer,Blaine Luetkemeyer,"Luetkemeyer, Blaine",Missouri 3rd District,R,0,62,1,1,113,House,,753
Lummis,Cynthia Lummis,"Lummis, Cynthia M.",Wyoming At-Large,R,1,60,1,1,113,House,CynthiaLummis,361
Marchant,Kenny Marchant,"Marchant, Kenny",Texas 24th District,R,0,63,1,1,113,House,RepKenMarchant,786
Marino,Thomas Marino,"Marino, Tom",Pennsylvania 10th District,R,0,62,1,1,113,House,RepTomMarino,954
Massie,Thomas Massie,"Massie, Thomas",Kentucky 4th District,R,0,43,1,1,113,House,RepThomasMassie,1444
McAllister,Vance McAllister,"McAllister, Vance",Louisiana 5th District,R,0,40,1,1,113,House,,0
McCarthy,Kevin McCarthy,"McCarthy, Kevin",California 23rd District,R,1,49,1,1,113,House,kevinomccarthy,106
McCaul,Michael McCaul,"McCaul, Michael T.",Texas 10th District,R,0,52,1,1,113,House,McCaulPressShop,712
McClintock,Tom McClintock,"McClintock, Tom",California 4th District,R,0,58,1,1,113,House,RepMcClintock,69
McHenry,Patrick McHenry,"McHenry, Patrick T.",North Carolina 10th District,R,0,39,1,1,113,House,PatrickMcHenry,1059
McKeon,Howard McKeon,"McKeon, Buck",California 25th District,R,0,76,0,0,113,House,BuckMcKeon,160
McKinley,David McKinley,"McKinley, David",West Virginia 1st District,R,0,67,1,1,113,House,RepMcKinley,1570
McMorris Rodgers,Cathy McMorris Rodgers,"McMorris Rodgers, Cathy",Washington 5th District,R,1,45,1,1,113,House,cathymcmorris,856
Meadows,Mark Meadows,"Meadows, Mark",North Carolina 11th District,R,0,55,1,1,113,House,RepMarkMeadows,1682
Meehan,Patrick Meehan,"Meehan, Pat",Pennsylvania 7th District,R,0,59,1,1,113,House,RepMeehan,1652
Messer,Luke Messer,"Messer, Luke",Indiana 6th District,R,0,45,1,1,113,House,RepLukeMesser,865
Mica,John Mica,"Mica, John",Florida 7th District,R,0,71,1,1,113,House,,0
Miller,Candice Miller,"Miller, Candice",Michigan 10th District,R,1,60,1,1,113,House,CandiceMiller,204
Miller,Gary Miller,"Miller, Gary",California 31st District,R,0,66,0,0,113,House,RepGaryMiller,186
Miller,Jeff Miller,"Miller, Jeff",Florida 1st District,R,0,55,1,1,113,House,RepJeffMiller,184
Mullin,Markwayne Mullin,"Mullin, Markwayne",Oklahoma 2nd District,R,0,37,1,1,113,House,MarkwayneMullin,11
Mulvaney,Mick Mulvaney,"Mulvaney, Mick",South Carolina 5th District,R,0,47,1,1,113,House,RepMickMulvaney,650
Murphy,Tim Murphy,"Murphy, Tim",Pennsylvania 18th District,R,0,62,1,1,113,House,RepTimMurphy,1098
Neugebauer,Randy Neugebauer,"Neugebauer, Randy",Texas 19th District,R,0,65,1,1,113,House,RandyNeugebauer,1097
Noem,Kristi Noem,"Noem, Kristi",South Dakota At-Large,R,1,43,1,1,113,House,RepKristiNoem,1055
Nugent,Richard Nugent,"Nugent, Richard",Florida 11th District,R,0,63,1,1,113,House,RepRichNugent,0
Nunes,Devin Nunes,"Nunes, Devin",California 22nd District,R,0,41,1,1,113,House,DevinNunes,433
Nunnelee,Alan Nunnelee,"Nunnelee, Alan",Mississippi 1st District,R,0,56,1,1,113,House,RepAlanNunnelee,868
Olson,Pete Olson,"Olson, Pete",Texas 22nd District,R,0,52,1,1,113,House,PeteOlson,456
Palazzo,Steven Palazzo,"Palazzo, Steven",Mississippi 4th District,R,0,44,1,1,113,House,CongPalazzo,738
Paulsen,Erik Paulsen,"Paulsen, Erik",Minnesota 3rd District,R,0,49,1,1,113,House,RepErikPaulsen,1574
Pearce,Steve Pearce,"Pearce, Steve",New Mexico 2nd District,R,0,67,1,1,113,House,RepStevePearce,1481
Perry,Scott Perry,"Perry, Scott",Pennsylvania 4th District,R,0,52,1,1,113,House,RepScottPerry,1437
Petri,Thomas Petri,"Petri, Thomas",Wisconsin 6th District,R,0,74,0,0,113,House,,0
Pittenger,Joe Pitttenger,"Pittenger, Robert",North Carolina 9th District,R,0,66,1,1,113,House,RobertPittenger,88
Pitts,Joe Pitts,"Pitts, Joseph R.",Pennsylvania 16th District,R,0,75,1,1,113,House,RepJoePitts,540
Poe,Ted Poe,"Poe, Ted",Texas 2nd District,R,0,66,1,1,113,House,JudgeTedPoe,889
Pompeo,Mike Pompeo,"Pompeo, Mike",Kansas 4th District,R,0,51,1,1,113,House,RepMikePompeo,1405
Posey,Bill Posey,"Posey, Bill",Florida 8th District,R,0,67,1,1,113,House,congbillposey,127
Price,Tom Price,"Price, Tom",Georgia 6th District,R,0,60,1,1,113,House,RepTomPrice,1584
Reed,Tom Reed,"Reed, Tom",New York 23rd District,R,0,43,2,2,113,House,RepTomReed,582
Reichert,Dave Reichert,"Reichert, David G.",Washington 8th District,R,0,64,1,1,113,House,davereichert,708
Renacci,James Renacci,"Renacci, Jim",Ohio 16th District,R,0,56,2,1,113,House,RepJimRenacci,1107
Ribble,Reid Ribble,"Ribble, Reid",Wisconsin 8th District,R,0,58,2,1,113,House,RepRibble,397
Rice,Tom Rice,"Rice, Tom",South Carolina 7th District,R,0,57,1,1,113,House,RepTomRice,385
Rigell,Scott Rigell,"Rigell, Scott",Virginia 2nd District,R,0,54,2,1,113,House,RepScottRigell,2204
Roby,Martha Roby,"Roby, Martha",Alabama 2nd District,R,1,38,1,1,113,House,RepMarthaRoby,3328
Roe,Phil Roe,"Roe, Phil",Tennessee 1st District,R,0,69,1,1,113,House,DrPhilRoe,832
Rogers,Mike D. Rogers,"Rogers (AL), Mike",Alabama 3rd District,R,0,56,1,1,113,House,RepMikeRogersAL,931
Rogers,Mike Rogers,"Rogers (MI), Mike",Michigan 8th District,R,0,51,0,0,113,House,RepMikeRogers,1045
Rogers,Hal Rogers,"Rogers, Harold",Kentucky 5th District,R,0,77,1,1,113,House,RepHalRogers,1556
Rohrabacher,Dana Rohrabacher,"Rohrabacher, Dana",California 48th District,R,0,67,1,1,113,House,DanaRohrabacher,3536
Rokita,Todd Rokita,"Rokita, Todd",Indiana 4th District,R,0,44,1,1,113,House,ToddRokita,2808
Rooney,Tom Rooney,"Rooney, Tom",Florida 17th District,R,0,44,1,1,113,House,TomRooney,1153
Roskam,Peter Roskam,"Roskam, Peter J.",Illinois 6th District,R,0,53,1,1,113,House,PeterRoskam,1353
Ros-Lehtinen,Ileana Ros-Lehtinen,"Ros-Lehtinen, Ileana",Florida 27th District,R,1,62,1,1,113,House,RosLehtinen,3698
Ross,Dennis Ross,"Ross, Dennis",Florida 15th District,R,0,55,1,1,113,House,RepDennisRoss,3883
Rothfus,Keith Rothfus,"Rothfus, Keith",Pennsylvania 12th District,R,0,52,2,1,113,House,KeithRothfus,2800
Royce,Ed Royce,"Royce, Ed",California 39th District,R,0,63,1,1,113,House,RepEdRoyce,918
Runyan,Jon Runyan,"Runyan, Jon",New Jersey 3rd District,R,0,41,0,0,113,House,RepJonRunyan,373
Ryan,Paul Ryan,"Ryan, Paul",Wisconsin 1st District,R,0,44,1,1,113,House,RepPaulRyan,175
Salmon,Matt Salmon,"Salmon, Matt",Arizona 5th District,R,0,56,1,1,113,House, RepMattSalmon,2011
Sanford,Mark Sanford,"Sanford, Mark",South Carolina 1st District,R,0,54,1,1,113,House,,0
Scalise,Steve Scalise,"Scalise, Steve",Louisiana 1st District,R,0,49,1,1,113,House, SteveScalise,2219
Schock,Aaron Schock,"Schock, Aaron",Illinois 18th District,R,0,33,1,1,113,House,repaaronschock,994
Schweikert,David Schweikert,"Schweikert, David",Arizona 6th District,R,0,52,1,1,113,House,RepDavid,1530
Scott,Austin Scott,"Scott, Austin",Georgia 8th District,R,0,45,1,1,113,House,AustinScottGA08,766
Sensenbrenner,F. James Sensenbrenner,"Sensenbrenner, F. James",Wisconsin 5th District,R,0,71,1,1,113,House,RpSensenbrenner,116
Sessions,Pete Sessions,"Sessions, Pete",Texas 32nd District,R,0,59,1,1,113,House,PeteSessions,1699
Shimkus,John Shimkus,"Shimkus, John",Illinois 15th District,R,0,56,1,1,113,House,RepShimkus,1950
Shuster,Bill Shuster,"Shuster, Bill",Pennsylvania 9th District,R,0,53,1,1,113,House,RepBillShuster,719
Simpson,Mike Simpson,"Simpson, Mike",Idaho 2nd District,R,0,64,1,1,113,House,CongMikeSimpson,198
Smith,Adrian Smith,"Smith, Adrian",Nebraska 3rd District,R,0,44,1,1,113,House,RepAdrianSmith,264
Smith,Christopher  Smith,"Smith, Chris",New Jersey 4th District,R,0,61,1,1,113,House,,254
Smith,Jason Smith,"Smith, Jason",Missouri 8th District,R,0,34,1,1,113,House,,1636
Smith,Lamar Smith,"Smith, Lamar",Texas 21st District,R,0,67,1,1,113,House,LamarSmithTX21,452
Southerland,Steve Southerland,"Southerland, Steve",Florida 2nd District,R,0,49,1,5,113,House,Rep_Southerland,282
Stewart,Chris Stewart,"Stewart, Chris",Utah 2nd District,R,0,54,1,1,113,House,RepChrisStewart,1005
Stivers,Steve Stivers,"Stivers, Steve",Ohio 15th District,R,0,49,1,1,113,House,RepSteveStivers,1188
Stockman,Steve Stockman,"Stockman, Steve",Texas 36th District,R,0,58,0,0,113,House,SteveStockmanUS,0
Stutzman,Marlin Stutzman,"Stutzman, Marlin",Indiana 3rd District,R,0,38,1,1,113,House,RepStutzman,177
Terry,Lee Terry,"Terry, Lee",Nebraska 2nd District,R,0,52,2,5,113,House,LEETERRYNE,2206
