Last_Name,Full_Name,Last_First,State_District,PID,Gender,Age,House_Comp_Dec12,Comp_Oct31_14,Congress,Chamber,Twitter,Number_Tweets
Thomspon,Glenn Thompson,"Thompson, Glenn W.",Pennsylvania 5th District,R,0,55,1,1,113,House,CongressmanGT,1638
Thornberry,Mac Thornberry,"Thornberry, Mac",Texas 13th District,R,0,56,1,1,113,House,MacTXPress,134
Tiberi,Patrick Tiberi,"Tiberi, Pat",Ohio 12th District,R,0,52,1,1,113,House,TiberiPress,1351
Tipton,Scott Tipton,"Tipton, Scott",Colorado 3rd District,R,0,58,1,1,113,House,RepTipton,814
Turner,Mike Turner,"Turner, Michael",Ohio 10th District,R,0,54,1,1,113,House,RepMikeTurner,695
Upton,Fred Upton,"Upton, Fred",Michigan 6th District,R,0,61,1,1,113,House,RepFredUpton,1408
Valadao,David Valadao,"Valadao, David",California 21st District,R,0,37,2,2,113,House,dgvaladao,147
Wagner,Ann Wagner,"Wagner, Ann",Missouri 2nd District,R,1,52,1,1,113,House,RepAnnWagner,1469
Walberg,Tim Walberg,"Walberg, Tim",Michigan 7th District,R,0,61,1,2,113,House,RepWalberg,626
Walden,Greg Walden,"Walden, Greg",Oregon 2nd District,R,0,57,1,1,113,House,repgregwalden,867
Walorski,Jackie Walorski,"Walorski, Jackie",Indiana 2nd District,R,1,51,2,2,113,House,jackiewalorski,1898
Weber,Randy Weber,"Weber, Randy",Texas 14th District,R,0,61,1,1,113,House,WeberforTexas,1122
Webster,Dan Webster,"Webster, Daniel",Florida 10th District,R,0,65,2,1,113,House,RepWebster,1275
Wenstrup,Brad Wenstrup,"Wenstrup, Brad",Ohio 2nd District,R,0,56,1,1,113,House,bradwenstrup,2416
Westmoreland,Lynn Westmoreland,"Westmoreland, Lynn A.",Georgia 3rd District,R,0,64,1,1,113,House,RepWestmoreland,1303
Whitfield,Ed Whitfield,"Whitfield, Ed",Kentucky 1st District,R,0,71,1,1,113,House,RepEdWhitfield,464
Williams,Roger Williams,"Williams, Roger",Texas 25th District,R,0,65,1,1,113,House,RogerWilliamsTX,510
Wilson,Joe Wilson,"Wilson, Joe",South Carolina 2nd District,R,0,67,1,1,113,House,USRepJoeWilson,85
Wittman,Rob Wittman,"Wittman, Robert J.",Virginia 1st District,R,0,55,1,1,113,House,RobWittman,846
Wolf,Frank Wolf,"Wolf, Frank",Virginia 10th District,R,0,75,1,3,113,House,RepWOLFPress,304
Womack,Steve Womack,"Womack, Steve",Arkansas 3rd District,R,0,57,1,1,113,House,rep_stevewomack,1687
Woodall,Rob Woodall,"Woodall, Robert",Georgia 7th District,R,0,44,1,1,113,House,,52
Yoder,Kevin Yoder,"Yoder, Kevin",Kansas 3rd District,R,0,38,1,2,113,House,RepKevinYoder,1887
Yoho,Ted Yoho,"Yoho, Ted",Florida 3rd District,R,0,59,1,1,113,House,RepTedYoho,408
Young,Don Young,"Young, Don",Alaska At-Large,R,0,81,1,2,113,House,repdonyoung,269
Young,Todd Young,"Young, Todd",Indiana 9th District,R,0,42,1,1,113,House,RepToddYoung,1202
Barber,Ron,"Barber, Ron",Arizona 2nd District,D,0,69,2,3,113,House,RepRonBarber,1774
Barrow,John,"Barrow, John",Georgia 12th District,D,0,59,2,3,113,House,repjohnbarrow,590
Bass,Karen,"Bass, Karen",California 37th District,D,1,61,1,1,113,House,RepKarenBass,925
Beatty,Joyce,"Beatty, Joyce",Ohio 3rd District,D,1,64,1,1,113,House,,1614
Becerra,Xavier,"Becerra, Xavier",California 34th District,D,0,56,1,1,113,House,RepBecerra,496
Bera,Ami,"Bera, Ami",California 7th District,D,0,49,2,5,113,House,RepBera,1007
Bishop,Sanford,"Bishop Jr., Sanford D.",Georgia 2nd District,D,0,67,1,1,113,House,SanfordBishop,600
Bishop,Tim,"Bishop, Timothy",New York 1st District,D,0,64,2,3,113,House,TimBishopNY,1180
Blumenauer,Earl,"Blumenauer, Earl",Oregon 3rd District,D,0,66,1,1,113,House,repblumenauer,604
Bonamici,Suzanne,"Bonamici, Suzanne",Oregon 1st District,D,1,60,1,1,113,House,RepBonamici,562
Brady,Robert,"Brady, Robert",Pennsylvania 1st District,D,0,69,1,1,113,House,RepBrady,170
Braley,Bruce,"Braley, Bruce L.",Iowa 1st District,D,0,57,2,3,113,House,BruceBraley,2816
Brown,Corrine,"Brown, Corrine",Florida 5th District,D,1,68,1,1,113,House,RepCorrineBrown,482
Brownley,Julia,"Brownley, Julia",California 26th District,D,1,62,1,3,113,House,JuliaBrownley,28
Bustos,Cheri,"Bustos, Cheri",Illinois 17th District,D,1,53,2,2,113,House,RepCheri,770
Butterfield,G.K.,"Butterfield, G.K.",North Carolina 1st District,D,0,67,1,1,113,House,GKButterfield,725
Capps,Lois,"Capps, Lois",California 24th District,D,1,76,1,2,113,House,RepLoisCapps,979
Capuano,Mike,"Capuano, Michael E.",Massachusetts 7th District,D,0,62,1,1,113,House,,0
Cardenas,Tony,"Cárdenas, Tony",California 29th District,D,0,51,1,1,113,House,,2957
Carney,John,"Carney, John",Delaware At-Large,D,0,58,1,1,113,House,johncarneyde,391
Carson,André,"Carson, André",Indiana 7th District,D,0,40,1,1,113,House,RepAndreCarson,1249
Cartwright,Matt,"Cartwright, Matthew",Pennsylvania 17th District,D,0,53,1,1,113,House,CartwrightPA,226
Castor,Kathy,"Castor, Kathy",Florida 14th District,D,1,48,1,1,113,House,,524
Castro,Joaquin,"Castro, Joaquin",Texas 20th District,D,0,40,1,1,113,House,JoaquinCastrotx,3181
Chu,Judy,"Chu, Judy",California 27th District,D,1,61,1,1,113,House,RepJudyChu,937
Cicilline,David,"Cicilline, David",Rhode Island 1st District,D,0,53,2,1,113,House,davidcicilline,3293
Clark,Katherine,"Clark, Katherine",Massachusetts 5th District,D,1,51,1,1,113,House,RepKClark,715
Clarke,Yvette,"Clarke, Yvette D.",New York 9th District,D,1,50,1,1,113,House,YvetteClarke,472
Clay,William,"Clay Jr., William ""Lacy""",Missouri 1st District,D,0,58,1,1,113,House,LacyClayMO1,472
Cleaver,Emanuel,"Cleaver, Emanuel",Missouri 5th District,D,0,70,1,1,113,House,repcleaver,1379
Clyburn,Jim,"Clyburn, James E.",South Carolina 6th District,D,0,74,1,1,113,House,Clyburn,190
Cohen,Steve,"Cohen, Steve",Tennessee 9th District,D,0,65,1,1,113,House,RepCohen,2191
Connolly,Gerry,"Connolly, Gerald E. ""Gerry""",Virginia 11th District,D,0,64,1,1,113,House,GerryConnolly,1385
Conyers,John,"Conyers Jr., John",Michigan 13th District,D,0,85,1,1,113,House,repjohnconyers,829
Cooper,Jim,"Cooper, Jim",Tennessee 5th District,D,0,60,1,1,113,House,repjimcooper,352
Costa,Jim,"Costa, Jim",California 16th District,D,0,62,1,1,113,House,RepJimCosta,596
Courtney,Joe,"Courtney, Joe",Connecticut 2nd District,D,0,61,1,1,113,House,RepJoeCourtney,862
Crowley,Joe,"Crowley, Joseph",New York 14th District,D,0,52,1,1,113,House,repjoecrowley,999
Cuellar,Henry,"Cuellar, Henry",Texas 28th District,D,0,59,1,1,113,House,RepCuellar,1992
Cummings,Elijah,"Cummings, Elijah",Maryland 7th District,D,0,63,1,1,113,House,ElijahECummings,1416
Davis,Danny,"Davis, Danny K.",Illinois 7th District,D,0,73,1,1,113,House,,169
Davis,Susan,"Davis, Susan",California 53rd District,D,1,70,1,1,113,House,,712
DeFazio,Peter,"DeFazio, Peter",Oregon 4th District,D,0,67,1,1,113,House,RepPeterDeFazio,376
DeGette,Diana,"DeGette, Diana",Colorado 1st District,D,1,57,1,1,113,House,RepDianaDeGette,457
Delaney,John,"Delaney, John",Maryland 6th District,D,0,51,1,1,113,House,RepJohnDelaney,2068
DeLauro,Rosa,"DeLauro, Rosa L.",Connecticut 3rd District,D,1,71,1,1,113,House,rosadelauro,2210
DelBene,Suzan,"DelBene, Suzan",Washington 1st District,D,1,52,2,1,113,House,SuzanDelBene,267
Deutch,Ted,"Deutch, Ted",Florida 21st District,D,0,48,1,1,113,House,RepTedDeutch,1148
Dingell,John,"Dingell, John",Michigan 12th District,D,0,88,0,0,113,House,john_dingell,1416
Doggett,Lloyd,"Doggett, Lloyd",Texas 35th District,D,0,68,1,1,113,House,RepLloydDoggett,806
Doyle,Mike,"Doyle, Mike",Pennsylvania 14th District,D,0,61,1,1,113,House,USRepMikeDoyle,130
Duckworth,Tammy,"Duckworth, Tammy",Illinois 8th District,D,1,46,1,1,113,House,RepDuckworth,938
Edwards,Donna,"Edwards, Donna F.",Maryland 4th District,D,1,56,1,1,113,House,repdonnaedwards,1109
Ellison,Keith,"Ellison, Keith",Minnesota 5th District,D,0,51,1,1,113,House,keithellison,3213
Engel,Eliot,"Engel, Eliot",New York 16th District,D,0,67,1,1,113,House,RepEliotEngel,650
Enyart,William,"Enyart, William",Illinois 12th District,D,0,65,2,5,113,House,RepBillEnyart,371
Eshoo,Anna,"Eshoo, Anna G.",California 18th District,D,1,72,1,1,113,House,RepAnnaEshoo,594
Esty,Elizabeth,"Esty, Elizabeth",Connecticut 5th District,D,1,55,2,2,113,House,RepEsty,1431
Farr,Sam,"Farr, Sam",California 20th District,D,0,73,1,1,113,House,RepSamFarr,990
Fattah,Chaka,"Fattah, Chaka",Pennsylvania 2nd District,D,0,58,1,1,113,House,chakafattah,3139
Foster,Bill,"Foster, Bill",Illinois 11th District,D,0,59,1,2,113,House,RepBillFoster,960
Frankel,Lois,"Frankel, Lois",Florida 22nd District,D,1,66,1,1,113,House,RepLoisFrankel,909
Fudge,Marcia,"Fudge, Marcia L.",Ohio 11th District,D,1,62,1,1,113,House,RepMarciaFudge,887
Gabbard,Tulsi,"Gabbard, Tulsi",Hawaii 2nd District,D,1,33,1,1,113,House,,884
Gallego,Pete,"Gallego, Pete",Texas 23rd District,D,0,53,2,3,113,House, petegallego,1037
Garamendi,John,"Garamendi, John",California 3rd District,D,0,69,2,1,113,House,RepGaramendi,28
Garcia,Joe,"Garcia, Joe",Florida 26th District,D,0,51,2,5,113,House,JoeGarcia,1548
Grayson,Alan,"Grayson, Alan",Florida 9th District,D,0,56,1,1,113,House,AlanGrayson,947
Green,Al,"Green, Al",Texas 9th District,D,0,67,1,1,113,House, RepAlGreen,156
Green,Gene,"Green, Gene",Texas 29th District,D,0,67,1,1,113,House, RepGeneGreen,250
Grijalva,Raúl,"Grijalva, Raul",Arizona 3rd District,D,0,66,1,1,113,House,RepRaulGrijalva,872
Gutiérrez,Luis,"Gutierrez, Luis",Illinois 4th District,D,0,61,1,1,113,House,,0
Hahn,Janice,"Hahn, Janice",California 44th District,D,1,62,1,1,113,House,Rep_JaniceHahn,1652
Hanabusa,Colleen,"Hanabusa, Colleen",Hawaii 1st District,D,1,63,0,0,113,House, RepHanabusa,511
Hastings,Alcee,"Hastings, Alcee L.",Florida 20th District,D,0,78,1,1,113,House,,97
Heck,Dennis,"Heck, Denny",Washington 10th District,D,0,62,1,1,113,House, DennyHeck,122
Higgins,Brian,"Higgins, Brian",New York 26th District,D,0,55,1,1,113,House,RepBrianHiggins,2913
Himes,Jim,"Himes, Jim",Connecticut 4th District,D,0,48,1,1,113,House,jahimes,2478
Hinojosa,Rubén,"Hinojosa, Rubén",Texas 15th District,D,0,74,1,1,113,House, USRepRHinojosa,822
Holt,Rush,"Holt, Rush",New Jersey 12th District,D,0,66,0,0,113,House,RushHolt,383
Honda,Mike,"Honda, Mike",California 17th District,D,0,73,1,1,113,House,RepMikeHonda,832
Horsford,Steve,"Horsford, Steven",Nevada 4th District,D,0,41,2,3,113,House,RepHorsford,1591
Hoyer,Steny,"Hoyer, Steny H.",Maryland 5th District,D,0,75,1,1,113,House,WhipHoyer,3211
Huffman,Jared,"Huffman, Jared",California 2nd District,D,0,50,1,1,113,House,RepHuffman,775
Israel,Steve,"Israel, Steve",New York 3rd District,D,0,56,1,1,113,House,RepSteveIsrael,1541
Jackson-Lee,Sheila,"Jackson Lee, Sheila",Texas 18th District,D,1,64,1,1,113,House, JacksonLeeTX18,1521
Jeffries,Hakeem,"Jeffries, Hakeem",New York 8th District,D,0,44,1,1,113,House,RepJeffries,785
Johnson,Eddie,"Johnson, Eddie Bernice",Texas 30th District,D,1,79,1,1,113,House, RepEBJ,2843
Johnson,Hank,"Johnson, Henry C. ""Hank"" Jr.",Georgia 4th District,D,0,60,1,1,113,House, RepHankJohnson,661
Kaptur,Marcy,"Kaptur, Marcy",Ohio 9th District,D,1,68,1,1,113,House,RepMarcyKaptur,593
Keating,Bill,"Keating, William",Massachusetts 9th District,D,0,62,1,2,113,House,USRepKeating,393
Kelly,,"Kelly, Robin",Illinois 2nd District,D,1,58,1,1,113,House,RepRobinKelly,754
Kennedy,Joseph,"Kennedy III, Joseph P.",Massachusetts 4th District,D,0,34,1,1,113,House,RepJoeKennedy,1425
Kildee,Dan,"Kildee, Daniel",Michigan 5th District,D,0, 56 ,1,1,113,House,dankildee,81
Kilmer,Derek,"Kilmer, Derek",Washington 6th District,D,0,40,1,1,113,House, RepDerekKilmer,550
Kind,Ron,"Kind, Ron",Wisconsin 3rd District,D,0,51,1,1,113,House, RepRonKind,556
Kirkpatrick,Ann,"Kirkpatrick, Ann",Arizona 1st District,D,1,64,2,5,113,House,RepKirkpatrick,973
Kuster,Ann McLane,"Kuster, Ann",New Hampshire 2nd District,D,1,58,2,3,113,House,RepAnnieKuster,1081
Langevin,James,"Langevin, Jim",Rhode Island 2nd District,D,0,50,1,1,113,House, jimlangevin,2216
Larsen,Rick,"Larsen, Rick",Washington 2nd District,D,0,49,1,1,113,House, larsenrick,303
Larson,John,"Larson, John B.",Connecticut 1st District,D,0,66,1,1,113,House,RepJohnLarson,398
Lee,Barbara,"Lee, Barbara",California 13th District,D,1,68,1,1,113,House,RepBarbaraLee,1662
Levin,Sander,"Levin, Sander",Michigan 9th District,D,0,83,1,1,113,House,repsandylevin,984
Lewis,John,"Lewis, John",Georgia 5th District,D,0,74,1,1,113,House,,278
Lipinski,Dan,"Lipinski, Daniel",Illinois 3rd District,D,0,48,1,1,113,House,,535
Loebsack,Dave,"Loebsack, David",Iowa 2nd District,D,0,62,2,3,113,House, daveloebsack,366
Lofgren,Zoe,"Lofgren, Zoe",California 19th District,D,1,67,1,1,113,House,RepZoeLofgren,612
Lowenthal,Alan,"Lowenthal, Alan",California 47th District,D,0,73,1,1,113,House,RepLowenthal,1052
Lowey,Nita,"Lowey, Nita",New York 17th District,D,1,77,1,1,113,House,NitaLowey,694
Lujan Grisham,Michelle Lujan,"Lujan Grisham, Michelle",New Mexico 1st District,D,1,55,1,1,113,House,RepLujanGrisham,1317
Luján,Ben,"Lujan, Ben R.",New Mexico 3rd District,D,0,42,1,1,113,House,repbenraylujan,251
Lynch,Stephen,"Lynch, Stephen F.",Massachusetts 8th District,D,0,59,1,1,113,House,RepStephenLynch,642
Maffei,Dan,"Maffei, Daniel",New York 24th District,D,0,46,2,3,113,House, RepDanMaffei,586
Maloney,Carolyn,"Maloney, Carolyn",New York 12th District,D,1,68,1,1,113,House,RepMaloney,864
Maloney,Sean,"Maloney, Sean Patrick",New York 18th District,D,0,48,2,3,113,House,RepSeanMaloney,135
Matheson,Jim,"Matheson, Jim",Utah 4th District,D,0,54,0,0,113,House, RepJimMatheson,205
Matsui,Doris,"Matsui, Doris O.",California 6th District,D,1,70,1,1,113,House,DorisMatsui,637
McCarthy,Carolyn,"McCarthy, Carolyn",New York 4th District,D,0,70,0,0,113,House,"RepMcCarthyNY is an official congress one, but has been idle for a year and a half",0
McCollum,Betty,"McCollum, Betty",Minnesota 4th District,D,1,60,1,1,113,House,BettyMcCollum04,976
McDermott,Jim,"McDermott, Jim",Washington 7th District,D,0,78,1,1,113,House, RepJimMcDermott,699
McGovern,Jim,"McGovern, James",Massachusetts 2nd District,D,0,55,1,1,113,House,RepMcGovern,1089
McIntyre,Mike,"McIntyre, Mike",North Carolina 7th District,D,0,58,0,0,113,House,RepMikeMcIntyre,461
McLeod,Gloria,"McLeod, Gloria Negrete ",California 35th District,D,1,73,0,0,113,House,RepMcLeod,416
McNerney,Jerry,"McNerney, Jerry",California 9th District,D,0,63,2,1,113,House,RepMcNerney,0
Meeks,Gregory,"Meeks, Gregory W.",New York 5th District,D,0,61,1,1,113,House,GregoryMeeks,634
Meng,Grace,"Meng, Grace",New York 6th District,D,1,39,1,1,113,House,RepGraceMeng,1696
Michaud,Mike,"Michaud, Michael",Maine 2nd District,D,0,59,0,0,113,House,RepMikeMichaud,261
Miller,George,"Miller, George",California 11th District,D,0,69,0,0,113,House,askgeorge,1278
Moore,Gwen,"Moore, Gwen",Wisconsin 4th District,D,1,63,1,1,113,House,RepGwenMoore,2305
Moran,Jim,"Moran, James",Virginia 8th District,D,0,69,0,0,113,House, Jim_Moran,1010
Murphy,Patrick,"Murphy, Patrick",Florida 18th District,D,0,31,2,2,113,House, PatrickMurphyFL,432
Nadler,Jerrold,"Nadler, Jerrold",New York 10th District,D,0,67,1,1,113,House,RepJerryNadler,792
Napolitano,Grace,"Napolitano, Grace",California 32nd District,D,1,78,1,1,113,House,gracenapolitano,268
Neal,Richard,"Neal, Richard E.",Massachusetts 1st District,D,0,65,1,1,113,House,RepRichardNeal,403
Nolan,Rick,"Nolan, Rick",Minnesota 8th District,D,0,71,2,5,113,House,USRepRickNolan,1272
O'Rourke,Beto,"O'Rourke, Beto",Texas 16th District,D,0,42,1,1,113,House,BetoORourke,704
Owens,Bill,"Owens, Bill",New York 21st District,D,0,65,0,0,113,House, BillOwensNY,312
Pallone,Frank,"Pallone Jr., Frank",New Jersey 6th District,D,0,63,1,1,113,House,FrankPallone,1877
Pascrell,Bill,"Pascrell Jr., Bill",New Jersey 9th District,D,0,77,1,1,113,House,BillPascrell,484
Pastor,Ed,"Pastor, Ed",Arizona 7th District,D,0,71,0,0,113,House,,0
"Payne,",Donald,"Payne Jr., Donald",New Jersey 10th District,D,0,56,1,1,113,House,RepDonaldPayne,1120
Pelosi,Nancy,"Pelosi, Nancy",California 12th District,D,1,74,1,1,113,House,NancyPelosi,1514
Perlmutter,Ed,"Perlmutter, Ed",Colorado 7th District,D,0,61,1,1,113,House,RepPerlmutter,722
Peters,Gary,"Peters, Gary",Michigan 14th District,D,0,56,0,0,113,House,RepGaryPeters,991
Peters,Scott,"Peters, Scott",California 52nd District,D,0,56,2,3,113,House,ScottPetersSD,1222
Peterson,Collin,"Peterson, Collin C.",Minnesota 7th District,D,0,70,2,3,113,House,,0
Pingree,Chellie,"Pingree, Chellie",Maine 1st District,D,1,59,0,0,113,House,chelliepingree,447
Pocan,Mark,"Pocan, Mark",Wisconsin 2nd District,D,0,50,1,1,113,House,MarkPocan,156
Polis,Jared,"Polis, Jared",Colorado 2nd District,D,0,39,1,1,113,House,jaredpolis,1624
Price,David,"Price, David",North Carolina 4th District,D,0,74,1,1,113,House,RepDavidEPrice,1191
Quigley,Michael,"Quigley, Mike",Illinois 5th District,D,0,56,1,1,113,House,RepMikeQuigley,2528
Rahall,Nick,"Rahall, Nick",West Virginia 3rd District,D,0,65,2,5,113,House, RepNickRahall,294
Rangel,Charles,"Rangel, Charles B.",New York 13th District,D,0,84,1,1,113,House,cbrangel,1969
Richmond,Cedric,"Richmond, Cedric",Louisiana 2nd District,D,0,41,1,1,113,House,,638
Roybal-Allard,Lucille,"Roybal-Allard, Lucille",California 40th District,D,1,73,1,1,113,House,RepRoybalAllard,908
Ruiz,Raul,"Ruiz, Raul",California 36th District,D,0,42,2,3,113,House,,181
Ruppersberger,Dutch,"Ruppersberger, Dutch",Maryland 2nd District,D,0,68,1,1,113,House,Call_Me_Dutch,784
Rush,Bobby,"Rush, Bobby L.",Illinois 1st District,D,0,68,0,0,113,House,RepBobbyRush,223
Ryan,Tim,"Ryan, Tim",Ohio 13th District,D,0,41,1,1,113,House,RepTimRyan,895
Sánchez,Linda,"Sanchez, Linda",California 38th District,D,1,45,1,1,113,House, RepLindaSanchez,838
Sanchez,Loretta,"Sanchez, Loretta",California 46th District,D,1,54,1,1,113,House,,218
Sarbanes,John,"Sarbanes, John P.",Maryland 3rd District,D,0,52,1,1,113,House,JohnSarbanes,184
Schakowsky,Jan,"Schakowsky, Jan",Illinois 9th District,D,1,70,1,1,113,House,janschakowsky,1617
Schiff,Adam,"Schiff, Adam",California 28th District,D,0,54,1,1,113,House,RepAdamSchiff,1262
Schneider,Brad,"Schneider, Brad",Illinois 10th District,D,0,53,2,5,113,House, RepSchneider,1003
Schrader,Kurt,"Schrader, Kurt",Oregon 5th District,D,0,63,1,1,113,House,RepSchrader,444
Schwartz,Allyson,"Schwartz, Allyson Y.",Pennsylvania 13th District,D,0,66,0,0,113,House,,944
Scott,David,"Scott, David",Georgia 13th District,D,0,69,1,1,113,House, repdavidscott,1263
Scott,Bobby,"Scott, Robert C.",Virginia 3rd District,D,0,67,1,1,113,House,repbobbyscott,954
Serrano,José,"Serrano, José E.",New York 15th District,D,0,71,1,1,113,House,RepJoseSerrano,1268
Sewell,Terri,"Sewell, Terri A.",Alabama 7th District,D,1,49,1,1,113,House,RepTerriSewell,975
Shea-Porter,Carol,"Shea-Porter, Carol",New Hampshire 1st District,D,1,61,2,5,113,House,,0
Sherman,Brad,"Sherman, Brad",California 30th District,D,0,60,1,1,113,House,BradSherman,139
Sinema,Kyrsten,"Sinema, Kyrsten",Arizona 9th District,D,1,38,2,2,113,House,kyrstensinema,3220
Sires,Albio,"Sires, Albio",New Jersey 8th District,D,0,63,1,1,113,House,Rep_Albio_Sires,143
Slaughter,Louise,"Slaughter, Louise",New York 25th District,D,1,85,1,1,113,House,louiseslaughter,2684
Smith,Adam,"Smith, Adam",Washington 9th District,D,0,49,1,1,113,House,Rep_Adam_Smith,955
Speier,Jackie,"Speier, Jackie",California 14th District,D,1,64,1,1,113,House,RepSpeier,1291
Swalwell,Eric,"Swalwell, Eric",California 15th District,D,0,34,1,1,113,House,RepSwalwell,3212
Takano,Mark,"Takano, Mark",California 41st District,D,0,54,1,1,113,House,RepMarkTakano,941
Thompson,Bennie,"Thompson, Bennie G.",Mississippi 2nd District,D,0,66,1,1,113,House,BennieGThompson,291
Thompson,Mike,"Thompson, Mike",California 5th District,D,0,63,1,1,113,House,RepThompson,796
Tierney,John,"Tierney, John",Massachusetts 6th District,D,0,63,0,0,113,House,RepTierney,574
Titus,Dina,"Titus, Dina",Nevada 1st District,D,1,64,1,1,113,House,dinatitus,556
Tonko,Paul,"Tonko, Paul D.",New York 20th District,D,0,65,1,1,113,House, reppaultonko,3121
Tsongas,Niki,"Tsongas, Niki",Massachusetts 3rd District,D,1,68,1,1,113,House,nikiinthehouse,2060
Van Hollen,Chris,"Van Hollen, Chris",Maryland 8th District,D,0,55,1,1,113,House,ChrisVanHollen,679
Vargas,Juan,"Vargas, Juan",California 51st District,D,0,53,1,1,113,House,,0
Veasey,Marc,"Veasey, Marc",Texas 33rd District,D,0,43,1,1,113,House,MarcVeasey,396
Vela,Filemon,"Vela, Filemon",Texas 34th District,D,0,51,1,1,113,House,FilemonVela,10
Velázquez,Nydia,"Velázquez, Nydia M.",New York 7th District,D,1,61,1,1,113,House,NydiaVelazquez,159
Visclosky,Pete,"Visclosky, Peter",Indiana 1st District,D,0,65,1,1,113,House, RepVisclosky,641
Walz,Tim,"Walz, Timothy J.",Minnesota 1st District,D,0,50,1,1,113,House,Tim_Walz,255
Wasserman,Debbie,"Wasserman Schultz, Debbie",Florida 23rd District,D,1,48,1,1,113,House,DWStweets,3094
Waters,Maxine,"Waters, Maxine",California 43rd District,D,1,76,0,0,113,House,MaxineWaters,456
Waxman,Henry,"Waxman, Henry",California 33rd District,D,0,75,0,0,113,House,WaxmanClimate,676
Welch,Peter,"Welch, Peter",Vermont At-Large,D,0,67,1,1,113,House,RepPeterWelch,639
Wilson,Frederica,"Wilson, Frederica",Florida 24th District,D,1,72,1,1,113,House,RepWilson,3168
Yarmuth,John,"Yarmuth, John A.",Kentucky 3rd District,D,0,67,1,1,113,House, RepJohnYarmuth,991